State Code,Year,Total Deaths,No. Injured,Total Damage ('000 US$),Total Disasters,Disaster Types
IN,1965,271.0,1000.0,190000.0,17.0,{'Tornado': 17}
LA,1965,299.0,0.0,1420000.0,35.0,{'Hurricane': 35}
MI,1965,271.0,1000.0,190000.0,16.0,{'Tornado': 16}
MS,1965,299.0,0.0,1420000.0,11.0,{'Hurricane': 11}
WA,1965,7.0,0.0,28000.0,6.0,{'Earthquake': 6}
IL,1966,80.0,0.0,0.0,,
KS,1966,26.0,0.0,100000.0,2.0,{'Tornado': 2}
MO,1966,182.0,0.0,0.0,,
TX,1967,15.0,0.0,200000.0,29.0,{'Hurricane': 29}
AR,1968,34.0,0.0,8000.0,28.0,{'Tornado': 28}
CA,1969,115.0,0.0,400000.0,38.0,{'Flood': 38}
LA,1969,323.0,0.0,1420000.0,5.0,{'Hurricane': 5}
MS,1969,323.0,0.0,1420000.0,27.0,{'Hurricane': 27}
VA,1969,323.0,0.0,1420000.0,27.0,{'Hurricane': 27}
KY,1970,38.0,0.0,0.0,25.0,{'Flood': 25}
OH,1970,31.0,0.0,0.0,,
TX,1970,37.0,0.0,597000.0,18.0,"{'Tornado': 11, 'Hurricane': 7}"
NY,1972,10.0,0.0,0.0,26.0,{'Flood': 26}
SD,1972,237.0,0.0,120000.0,4.0,{'Flood': 4}
VA,1972,762.0,0.0,120000.0,140.0,{'Flood': 140}
WV,1972,637.0,0.0,120000.0,26.0,{'Flood': 26}
AR,1973,2.0,0.0,50000.0,48.0,{'Flood': 48}
CA,1973,0.0,0.0,1000.0,6.0,{'Flood': 6}
MI,1973,0.0,333.0,0.0,14.0,{'Flood': 14}
MS,1973,23.0,0.0,500000.0,52.0,{'Severe Storm': 52}
NY,1973,38.0,20.0,0.0,14.0,{'Flood': 14}
NY,1974,24.0,0.0,0.0,5.0,{'Flood': 5}
FL,1975,21.0,0.0,550000.0,14.0,{'Flood': 14}
ID,1975,0.0,0.0,1000.0,,
NE,1975,3.0,0.0,0.0,2.0,{'Tornado': 2}
CO,1976,139.0,0.0,41000.0,4.0,{'Flood': 4}
ID,1976,11.0,0.0,0.0,5.0,{'Flood': 5}
NE,1976,20.0,0.0,0.0,20.0,{'Severe Ice Storm': 20}
