State Name,State Code,Year,Total Deaths,No. Injured,Total Damage ('000 US$),Total Disasters,Disaster Types
Georgia,GA,2021,19.0,17.0,5500000.0,32.0,"{'Severe Storm': 10, 'Hurricane': 22}"
Guam,GU,2021,0.0,0.0,0.0,0.0,0
Hawaii,HI,2021,1.0,0.0,50000.0,4.0,"{'Fire': 2, 'Flood': 2}"
Iowa,IA,2021,6.0,0.0,3100000.0,0.0,0
Idaho,ID,2021,229.0,0.0,0.0,8.0,"{'Fire': 3, 'Severe Storm': 5}"
Illinois,IL,2021,328.0,110.0,36500000.0,15.0,{'Tornado': 15}
Indiana,IN,2021,0.0,0.0,1300000.0,0.0,0
Kansas,KS,2021,5.0,0.0,1900000.0,0.0,0
Kentucky,KY,2021,335.0,111.0,37050000.0,138.0,"{'Tornado': 41, 'Flood': 51, 'Severe Ice Storm': 46}"
Louisiana,LA,2021,357.0,27.0,100260000.0,369.0,"{'Coastal Storm': 65, 'Hurricane': 166, 'Flood': 8, 'Severe Ice Storm': 130}"
Massachusetts,MA,2021,4.0,0.0,100000.0,2.0,{'Hurricane': 2}
Maryland,MD,2021,105.0,1.0,66450000.0,4.0,{'Hurricane': 4}
Maine,ME,2021,4.0,0.0,100000.0,0.0,0
Michigan,MI,2021,0.0,0.0,1300000.0,6.0,{'Severe Storm': 6}
Minnesota,MN,2021,5.0,0.0,1900000.0,0.0,0
Missouri,MO,2021,334.0,110.0,39600000.0,24.0,{'Severe Storm': 24}
Mississippi,MS,2021,363.0,147.0,42270000.0,205.0,"{'Hurricane': 167, 'Severe Ice Storm': 38}"
Montana,MT,2021,0.0,25.0,10000.0,18.0,"{'Fire': 12, 'Other': 6}"
North Carolina,NC,2021,255.0,27.0,35100000.0,32.0,"{'Hurricane': 12, 'Severe Storm': 20}"
North Dakota,ND,2021,1.0,0.0,1200000.0,10.0,{'Severe Storm': 10}
Nebraska,NE,2021,241.0,10.0,33100000.0,15.0,{'Severe Storm': 15}
New Jersey,NJ,2021,108.0,0.0,66950000.0,50.0,"{'Hurricane': 44, 'Snowstorm': 6}"
New Mexico,NM,2021,23.0,0.0,3450000.0,2.0,{'Fire': 2}
Nevada,NV,2021,238.0,0.0,300000.0,4.0,{'Fire': 4}
New York,NY,2021,100.0,0.0,65650000.0,67.0,{'Hurricane': 67}
Ohio,OH,2021,94.0,101.0,6650000.0,0.0,0
Oklahoma,OK,2021,235.0,10.0,33100000.0,158.0,"{'Fire': 2, 'Severe Ice Storm': 156}"
