State Name,State Code,Year,Total Deaths,No. Injured,Total Damage ('000 US$),Total Disasters,Risk Level
Alabama,AL,2022,24.0,115.0,12053000.0,0.0,
Arkansas,AR,2022,13.0,28.0,6177000.0,0.0,
Arizona,AZ,2022,136.0,0.0,22000000.0,10.0,
California,CA,2022,142.0,19.0,22401000.0,11.0,
Colorado,CO,2022,98.0,138.0,2700000.0,0.0,
Connecticut,CT,2022,98.0,0.0,2700000.0,0.0,
Florida,FL,2022,204.0,37.0,106727000.0,272.0,
Georgia,GA,2022,109.0,37.0,6770000.0,0.0,
Iowa,IA,2022,11.0,28.0,4920000.0,26.0,
Idaho,ID,2022,98.0,0.0,2700000.0,6.0,
Illinois,IL,2022,10.0,12.0,3320000.0,2.0,
Indiana,IN,2022,9.0,28.0,3620000.0,0.0,
Kansas,KS,2022,103.0,6.0,5207000.0,80.0,
Kentucky,KY,2022,151.0,28.0,9120000.0,35.0,
Louisiana,LA,2022,9.0,115.0,6145000.0,0.0,
Maryland,MD,2022,111.0,0.0,4045000.0,0.0,
Michigan,MI,2022,2.0,12.0,2500000.0,0.0,
Minnesota,MN,2022,8.0,40.0,7124000.0,68.0,
Missouri,MO,2022,149.0,12.0,9149000.0,13.0,
Mississippi,MS,2022,14.0,115.0,11527000.0,2.0,
Montana,MT,2022,0.0,0.0,624000.0,8.0,
North Carolina,NC,2022,260.0,50.0,107524000.0,102.0,
North Dakota,ND,2022,0.0,0.0,0.0,41.0,
Nebraska,NE,2022,0.0,138.0,624000.0,51.0,
New Hampshire,NH,2022,106.0,0.0,3520000.0,0.0,
New Jersey,NJ,2022,13.0,0.0,1345000.0,0.0,
New Mexico,NM,2022,2.0,187.0,155000.0,20.0,
Nevada,NV,2022,136.0,0.0,22000000.0,2.0,
New York,NY,2022,125.0,63.0,3520000.0,15.0,
Ohio,OH,2022,116.0,50.0,7720000.0,0.0,
Oklahoma,OK,2022,117.0,121.0,11885000.0,10.0,
Oregon,OR,2022,234.0,0.0,24700000.0,4.0,
Pennsylvania,PA,2022,15.0,0.0,3320000.0,0.0,
South Carolina,SC,2022,3.0,0.0,3200000.0,94.0,
South Dakota,SD,2022,98.0,0.0,2700000.0,30.0,
Tennessee,TN,2022,104.0,28.0,6025000.0,23.0,
Texas,TX,2022,213.0,132.0,36309000.0,13.0,
Virginia,VA,2022,108.0,0.0,5049000.0,32.0,
Vermont,VT,2022,98.0,0.0,2700000.0,0.0,
Washington,WA,2022,105.0,0.0,4525000.0,46.0,
Wisconsin,WI,2022,105.0,12.0,6400000.0,0.0,
West Virginia,WV,2022,103.0,0.0,3900000.0,4.0,
Wyoming,WY,2022,0.0,0.0,0.0,0.0,
Alabama,AL,2023,81.0,121.0,14360000.0,15.0,
Arkansas,AR,2023,60.0,160.0,11780000.0,3.0,
